OrgID,OrgLegalNameEng,OrgLegalNameFra,OrgAppliedNameEng,OrgAppliedNameFra,OrgAbbvrEng,OrgAbbvrFra,ProgUID,ProgNameEng,ProgNameFra
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1496,Efficient and effective services which support tribunal chairs and members in exercising their statutory responsibilities and ensure that their independence is protected in a manner which promotes Canadians’ confidence in the federal tribunal system.,Services efficients et efficaces qui appuient les présidents et les membres des tribunaux dans l’exercice de leurs responsabilités légales et protègent leur indépendance de façon à promouvoir la confiance des Canadiens dans le système des tribunaux fédéra
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1501,Internal Services,Services internes
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1499,Payments to tribunal chairs and members,Paiements aux présidents et aux membres des tribunaux
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1498,Registry Services,Services du greffe
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1500,The following program supports all strategic outcomes within this organization.,Le programme suivant appuie tous les résultats stratégiques de cette organisation.
1653,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,1497,Tribunal Specialized and Expert Support Services,Services de soutien spécialisés et d’experts aux tribunaux
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,94,A competitive Atlantic Canadian economy.,Une économie concurrentielle au Canada atlantique.
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,117,Acquisition,Acquisition
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,104,Advocacy,Défense des intérêts
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,109,Communications,Communications
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,99,Community Development,Développement des collectivités
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,100,Community Investment,Investissement dans les collectivités
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,101,Community-based Business Development,Développement des entreprises dans les collectivités
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,105,Coordination,Coordination
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,95,Enterprise Development,Développement des entreprises
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,112,Financial Management,Gestion financière
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,111,Human Resource Management,Gestion des ressources humaines
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,113,Information Management,Gestion de l’information
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,114,Information Technology,Technologie de l’information
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,96,Innovation and Commercialization,Innovation et commercialisation
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,107,Internal Services,Services internes
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,98,International Business Development,Promotion du commerce extérieur
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,110,Legal,Services juridiques
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,108,Management and Oversight,Gestion et surveillance
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,116,Materiel,Matériel
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,103,Policy,Politiques
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,102,"Policy, Advocacy and Coordination","Politiques, défense des intérêts et coordination"
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,97,Productivity and Growth,Productivité et croissance
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,115,Real Property,Biens immobiliers
125,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,106,The following program supports all strategic outcomes within this organization.,Le programme suivant appuie tous les résultats stratégiques de cette organisation.
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1697,Advanced CANDU Reactor,Réacteur CANDU avancé
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1682,"Be the top worldwide nuclear products and services company. Protect the health and safety of the public, our employees and the environment. Minimize nuclear legacy obligations for future generations.","Être le principal fournisseur mondial de produits et de services nucléaires. Protéger la santé et la sécurité du public, de notre personnel et de l’environnement. Réduire au minimum les obligations liées aux déchets  nucléaires pour les générations future"
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1696,CANDU Owners Group Research,Activités de recherche du Groupe des propriétaires de centrales CANDU
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1688,CANDU Technology Development,Mise au point de la technologie CANDU
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1686,Capital,Immobilisations
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1695,Capital,Immobilisations
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1711,Capital,Immobilisations
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1708,CNSC Site License Fee,Coûts relatifs au permis de site octroyé par la CCSN
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1683,Commercial Business,Affaires commerciales
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1685,Commercial Product Development,Développement des produits commerciaux
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1698,Commercial Research and Development,Recherche et développement en matière de commerce
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1684,Commercial Sales Costs,Coûts des ventes commerciales
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1718,Decommissioning,Déclassement
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1720,Decommissioning Chalk River,"Activités de déclassement, Chalk River"
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1719,Decommissioning Planning and Operations,Planification et Activités de déclassement
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1721,Decommissioning Whiteshell,"Activités de déclassement, Whiteshell"
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1702,Emergency Services,Services d’urgence
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1700,Facilities and Nuclear operations,Installations et Activités nucléaires
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1699,Facilities and Nuclear Operations,Installations et activités nucléaires
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1691,Fuel Channels,Canaux de combustible
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1689,Generic Safety Research,Recherche générique en matière de sûreté
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1713,Isotope Services,Services des isotopes
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1717,Low Level Radioactive Waste Management Office,Bureau de gestion des déchets radioactifs de faible activité
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1694,Management and Administration,Gestion et Administration
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1703,NRU Reactor Operations,Exploitations des réacteurs NRU
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1704,Nuclear Laboratories and Facilities,Laboratoires et installations nucléaires
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1722,Other Decommissioning,Autres activités de déclassement
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1693,Other Nuclear Research,Autres recherches nucléaires
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1705,"Quality, Safety, Environment &amp; Radiation Protection","Qualité, Sûreté, Environnement et Radioprotection"
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1692,Reactor Chemistry &amp; Systems,Chimie et filières des réacteurs
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1690,Reactor Core Technology,Technologie du cœur du réacteur
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1687,Research and Development,Recherche et développement
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1701,Security,Sécurité
1847,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",,,AECL,EACL,1707,Site Maintenance,Entretien de l’établissement
